Source IP,Destination IP,Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Fwd Header Length,Bwd Header Length,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
10.20.0.1,10.20.32.198,53,63643,<member 'name' of 'Packet' objects>,0.01053619384765625,1,1,152,83,152,152,152.0,0.0,83,83,83.0,0.0,22304.069514844316,189.82186821144097,0.01053619384765625,0.0,0.01053619384765625,0.01053619384765625,0.01053619384765625,0.01053619384765625,0.0,0.01053619384765625,0.01053619384765625,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,138,69,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.0.1,10.20.32.198,53,54296,<member 'name' of 'Packet' objects>,0.013533830642700195,1,1,194,83,194,194,194.0,0.0,83,83,83.0,0.0,20467.228186382454,147.77782084030653,0.013533830642700195,0.0,0.013533830642700195,0.013533830642700195,0.013533830642700195,0.013533830642700195,0.0,0.013533830642700195,0.013533830642700195,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,180,69,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,52.123.168.167,50325,443,<member 'name' of 'Packet' objects>,1.1493539810180664,18,16,9258,7703,1494,54,514.3333333333334,605.2556851814318,1514,60,481.4375,606.5784129803417,14756.985471939992,29.58183515393902,0.03482890851569898,0.07561420957837714,0.4081580638885498,0.001486063003540039,0.4786689281463623,0.02815699577331543,0.09522889552850831,0.4081580638885498,0.001486063003540039,0.6706850528717041,0.041917815804481506,0.0453815606109885,0.11018896102905273,0.0019979476928710938,0,2,0,14,33,0,0,0,9006,7479,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.0.1,10.20.32.198,53,54416,<member 'name' of 'Packet' objects>,5.873111963272095,4,4,663,328,207,90,165.75,44.82396122611209,90,76,82.0,5.787918451395113,168.73507711027577,1.3621398757640828,0.8390159947531564,1.2442059707744508,2.9664580821990967,0.0023300647735595703,0.02770686149597168,0.00692671537399292,0.0031369852148721224,0.011020898818969727,0.0023300647735595703,5.845405101776123,1.9484683672587078,1.2074982602147675,2.9664580821990967,0.2521021366119385,0,0,0,0,0,0,0,0,607,272,0,0,2.0,0.0,2.0,2.0,2.7966514825820923,0.1698065996170044,2.9664580821990967,2.626844882965088
10.20.32.198,48.218.104.163,49821,443,<member 'name' of 'Packet' objects>,0.1866929531097412,3,3,475,1304,317,54,158.33333333333334,114.03605667604533,1151,60,434.6666666666667,506.70328815019764,9529.015264728681,32.13833141561107,0.03733859062194824,0.04895031442841946,0.13068199157714844,0.003175973892211914,0.05171012878417969,0.017236709594726562,0.017925081157550597,0.04253411293029785,0.003175973892211914,0.13498282432556152,0.06749141216278076,0.06319057941436768,0.13068199157714844,0.004300832748413086,0,0,0,4,6,0,0,0,433,1262,0,16380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.47.15,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,344,0,344,344,344.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,330,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,18.161.216.126,50227,443,<member 'name' of 'Packet' objects>,0.003053903579711914,1,1,55,66,55,55,55.0,0.0,66,66,66.0,0.0,39621.421188227025,654.8995237723476,0.003053903579711914,0.0,0.003053903579711914,0.003053903579711914,0.0,0.0,0.0,0.0,0.0,0.003053903579711914,0.003053903579711914,0.0,0.003053903579711914,0.003053903579711914,0,0,0,0,2,0,0,0,41,52,512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.19.185,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,342,0,342,342,342.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,328,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,52.84.205.49,50231,443,<member 'name' of 'Packet' objects>,0.0039958953857421875,1,1,55,66,55,55,55.0,0.0,66,66,66.0,0.0,30281.07303102625,500.51360381861576,0.0039958953857421875,0.0,0.0039958953857421875,0.0039958953857421875,0.0,0.0,0.0,0.0,0.0,0.0039958953857421875,0.0039958953857421875,0.0,0.0039958953857421875,0.0039958953857421875,0,0,0,0,2,0,0,0,41,52,512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.29,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,342,0,342,342,342.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,328,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,18.161.216.71,50229,443,<member 'name' of 'Packet' objects>,0.0029981136322021484,1,1,55,66,55,55,55.0,0.0,66,66,66.0,0.0,40358.710457256464,667.0861232604374,0.0029981136322021484,0.0,0.0029981136322021484,0.0029981136322021484,0.0,0.0,0.0,0.0,0.0,0.0029981136322021484,0.0029981136322021484,0.0,0.0029981136322021484,0.0029981136322021484,0,0,0,0,2,0,0,0,41,52,1031,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
