Source IP,Destination IP,Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Fwd Header Length,Bwd Header Length,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
10.20.32.198,142.250.182.78,57826,443,<member 'name' of 'Packet' objects>,0.5800509452819824,38,45,13330,28278,1292,71,350.7894736842105,482.21845660364005,1292,64,628.4,536.7209661971066,71731.63036528273,143.09087964618502,0.007073792015633932,0.019755260618047943,0.16016602516174316,0.0,0.2997722625732422,0.008101953042520059,0.026479570392688886,0.16016602516174316,0.0,0.28027868270874023,0.006228415171305338,0.011535154364352426,0.06534194946289062,0.0,0,0,0,0,0,0,0,0,12798,27648,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.33.72,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,342,0,342,342,342.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,328,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.46.33,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,342,0,342,342,342.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,328,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,34.36.57.103,62719,443,<member 'name' of 'Packet' objects>,0.014997005462646484,1,1,55,66,55,55,55.0,0.0,66,66,66.0,0.0,8068.277383866967,133.3599567581317,0.014997005462646484,0.0,0.014997005462646484,0.014997005462646484,0.0,0.0,0.0,0.0,0.0,0.014997005462646484,0.014997005462646484,0.0,0.014997005462646484,0.014997005462646484,0,0,0,0,2,0,0,0,41,52,510,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.33.95,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,342,0,342,342,342.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,328,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.31.221,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,348,0,348,348,348.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,334,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.21.33,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,358,0,358,358,358.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,344,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,23.62.12.34,62606,443,<member 'name' of 'Packet' objects>,0.03346586227416992,1,1,55,60,55,55,55.0,0.0,60,60,60.0,0.0,3436.337574626334,59.76239260219711,0.03346586227416992,0.0,0.03346586227416992,0.03346586227416992,0.0,0.0,0.0,0.0,0.0,0.03346586227416992,0.03346586227416992,0.0,0.03346586227416992,0.03346586227416992,0,0,0,0,2,0,0,0,41,46,513,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.24.64,255.255.255.255,68,67,<member 'name' of 'Packet' objects>,0.0,1,0,350,0,350,350,350.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,336,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.20.32.198,142.250.182.78,62744,443,<member 'name' of 'Packet' objects>,0.012205839157104492,1,1,55,66,55,55,55.0,0.0,66,66,66.0,0.0,9913.288094540483,163.8560015626526,0.012205839157104492,0.0,0.012205839157104492,0.012205839157104492,0.0,0.0,0.0,0.0,0.0,0.012205839157104492,0.012205839157104492,0.0,0.012205839157104492,0.012205839157104492,0,0,0,0,2,0,0,0,41,52,509,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
